Skin,Wear,Price (USD)
AWP | Atheris,Battle-Scarred,3.70
M4A1-S | Nitro,Factory New,18.78
AWP | Mortis,Field-Tested,2.60
USP-S | Torque,Factory New,3.60
MP9 | Food Chain,Well-Worn,1.86
AK-47 | The Outsiders,Battle-Scarred,7.36
M4A1-S | Liquidation,Minimal Wear,11.64
M4A1-S | Black Lotus,Field-Tested,9.40
CZ75-Auto | Tacticat,Field-Tested,0.76
SSG 08 | Abyss,Minimal Wear,0.81
Desert Eagle | Heat Treated,Battle-Scarred,1.99
AWP | Ice Coaled,Well-Worn,8.42
Zeus x27 | Electric Blue,Well-Worn,17.03
Rezan The Ready | Sabre,,17.03
PP-Bizon | Candy Apple,Factory New,0.20
RM4A4 | Naval Shred Camo,Factory New,1.50 
Galil AR | Signal,Field-Tested,0.79 
Sticker | Shattered Web,,0.28
